No,Red,Green,Blue,Brightness
368,0.454,0.346,0.2,124
369,0.449,0.353,0.199,130
370,0.435,0.361,0.204,140
371,0.433,0.36,0.207,142
372,0.428,0.366,0.207,135
373,0.424,0.364,0.212,113
374,0.427,0.359,0.214,113
375,0.431,0.358,0.211,105
376,0.434,0.358,0.208,103
377,0.434,0.354,0.212,111
378,0.437,0.353,0.21,118
379,0.432,0.352,0.216,122
380,0.43,0.356,0.215,132
381,0.436,0.35,0.214,139
382,0.436,0.35,0.214,138
383,0.434,0.349,0.217,129
384,0.446,0.348,0.205,114
385,0.453,0.34,0.208,106
386,0.454,0.343,0.204,108
387,0.452,0.346,0.202,104
388,0.456,0.34,0.204,103
389,0.45,0.342,0.207,111
390,0.444,0.342,0.214,117
391,0.44,0.345,0.216,116
392,0.434,0.344,0.221,120
393,0.432,0.336,0.232,124
394,0.4,0.326,0.274,130
395,0.352,0.34,0.309,156
396,0.349,0.337,0.314,163
397,0.364,0.346,0.29,156
398,0.393,0.336,0.271,132
399,0.388,0.338,0.273,130
400,0.315,0.342,0.342,204
401,0.307,0.342,0.351,212
402,0.288,0.348,0.364,233
403,0.269,0.356,0.375,244
404,0.319,0.341,0.341,171
405,0.397,0.331,0.273,111
406,0.437,0.344,0.219,94
407,0.444,0.344,0.211,89
408,0.451,0.341,0.209,89
409,0.453,0.337,0.209,84
410,0.468,0.339,0.194,62
411,0.479,0.333,0.187,48
412,0.472,0.34,0.189,51
413,0.481,0.333,0.185,53
414,0.457,0.346,0.198,79
415,0.452,0.348,0.2,112
416,0.444,0.352,0.204,139
417,0.435,0.354,0.211,142
418,0.431,0.358,0.212,130
419,0.42,0.362,0.217,130
420,0.42,0.34,0.24,107
421,0.448,0.344,0.208,95
422,0.46,0.345,0.195,87
423,0.459,0.341,0.2,84
424,0.461,0.348,0.191,88
425,0.458,0.344,0.198,94
426,0.455,0.343,0.202,97
427,0.448,0.352,0.2,103
428,0.447,0.351,0.202,111
429,0.439,0.35,0.211,120
430,0.437,0.352,0.211,125
431,0.44,0.351,0.209,130
432,0.443,0.35,0.207,135
433,0.449,0.348,0.203,134
434,0.455,0.348,0.197,129
435,0.455,0.351,0.194,130
436,0.461,0.348,0.191,138
437,0.462,0.345,0.193,141
438,0.459,0.349,0.192,141
439,0.455,0.352,0.193,142
440,0.456,0.347,0.197,144
441,0.455,0.35,0.196,139
442,0.453,0.35,0.197,133
443,0.453,0.353,0.194,136
444,0.451,0.354,0.194,142
445,0.453,0.351,0.196,144
446,0.444,0.356,0.2,156
447,0.442,0.355,0.203,167
448,0.444,0.35,0.206,176
449,0.441,0.355,0.204,182
450,0.437,0.358,0.205,184
451,0.438,0.357,0.205,178
452,0.437,0.356,0.207,167
453,0.436,0.359,0.205,146
454,0.439,0.357,0.204,149
455,0.436,0.362,0.202,158
456,0.444,0.351,0.205,166
457,0.448,0.355,0.198,166
458,0.441,0.359,0.2,162
459,0.451,0.353,0.197,163
460,0.451,0.349,0.2,163
461,0.45,0.357,0.193,157
462,0.449,0.358,0.193,159
463,0.454,0.351,0.195,167
464,0.457,0.351,0.191,170
465,0.456,0.352,0.192,176
466,0.456,0.35,0.194,189
467,0.457,0.347,0.196,203
468,0.454,0.349,0.197,213
469,0.451,0.35,0.198,219
470,0.448,0.351,0.202,231
471,0.444,0.35,0.206,242
472,0.434,0.353,0.213,235
473,0.424,0.355,0.221,218
474,0.42,0.354,0.226,199
475,0.415,0.354,0.231,182
476,0.419,0.357,0.224,200
477,0.422,0.351,0.227,206
478,0.422,0.352,0.226,198
479,0.419,0.349,0.231,187
480,0.418,0.35,0.232,177
481,0.418,0.353,0.229,170
482,0.418,0.353,0.229,171
483,0.423,0.346,0.231,181
484,0.426,0.349,0.226,193
485,0.429,0.349,0.222,206
486,0.435,0.348,0.217,223
487,0.436,0.35,0.214,234
488,0.437,0.351,0.212,234
489,0.441,0.351,0.208,233
490,0.446,0.35,0.204,226
491,0.452,0.351,0.197,214
492,0.449,0.357,0.193,193
493,0.453,0.358,0.189,176
494,0.462,0.352,0.187,169
495,0.46,0.351,0.19,161
496,0.456,0.356,0.187,149
497,0.452,0.355,0.194,143
498,0.445,0.355,0.2,145
499,0.443,0.356,0.201,141
500,0.446,0.36,0.194,130
501,0.446,0.362,0.192,120
502,0.448,0.36,0.192,114
503,0.444,0.363,0.194,112
504,0.434,0.361,0.205,110
505,0.434,0.361,0.205,111
506,0.434,0.361,0.205,110
507,0.431,0.366,0.203,110
508,0.418,0.37,0.212,131
509,0.42,0.364,0.216,163
510,0.431,0.352,0.218,205
511,0.429,0.35,0.22,243
512,0.429,0.349,0.222,248
513,0.429,0.351,0.22,246
514,0.426,0.353,0.221,222
515,0.419,0.357,0.224,195
516,0.422,0.355,0.223,196
517,0.427,0.357,0.216,173
518,0.428,0.361,0.211,154
519,0.44,0.357,0.202,156
520,0.444,0.359,0.196,145
521,0.442,0.361,0.197,140
522,0.436,0.362,0.201,142
523,0.441,0.362,0.197,143
524,0.437,0.363,0.2,152
525,0.44,0.357,0.202,159
526,0.443,0.359,0.198,158
527,0.445,0.36,0.195,155
528,0.445,0.354,0.201,157
529,0.442,0.358,0.2,157
530,0.442,0.356,0.202,154
531,0.44,0.358,0.201,150
532,0.438,0.358,0.204,153
533,0.437,0.359,0.204,158
534,0.44,0.354,0.206,163
535,0.435,0.36,0.204,173
536,0.443,0.356,0.201,180
537,0.443,0.355,0.202,188
538,0.44,0.357,0.203,191
539,0.446,0.352,0.202,198
540,0.445,0.352,0.203,210
541,0.447,0.351,0.202,212
542,0.442,0.357,0.201,209
543,0.446,0.353,0.201,207
544,0.446,0.353,0.201,208
545,0.445,0.35,0.205,203
546,0.444,0.352,0.204,199
547,0.443,0.353,0.204,204
548,0.444,0.351,0.204,208
549,0.442,0.355,0.203,202
550,0.441,0.357,0.202,199
551,0.442,0.353,0.205,202
552,0.443,0.352,0.205,199
553,0.439,0.356,0.205,195
554,0.441,0.353,0.206,194
