No,Red,Green,Blue,Brightness
607,0.509,0.321,0.17,105
608,0.493,0.329,0.179,137
609,0.487,0.322,0.191,145
610,0.49,0.327,0.184,139
611,0.5,0.321,0.179,109
612,0.5,0.324,0.176,133
613,0.48,0.324,0.196,141
614,0.474,0.325,0.201,147
615,0.513,0.321,0.167,79
616,0.513,0.308,0.179,40
617,0.493,0.329,0.179,139
618,0.497,0.324,0.179,167
619,0.494,0.325,0.181,156
620,0.491,0.317,0.193,153
621,0.478,0.317,0.205,152
622,0.489,0.33,0.181,183
623,0.495,0.327,0.178,204
624,0.516,0.305,0.179,174
625,0.511,0.313,0.176,210
626,0.498,0.323,0.179,205
627,0.505,0.319,0.176,200
628,0.517,0.312,0.171,221
629,0.52,0.311,0.168,229
630,0.526,0.303,0.171,219
631,0.517,0.307,0.176,188
632,0.532,0.306,0.162,220
633,0.512,0.327,0.161,201
634,0.523,0.315,0.162,223
635,0.53,0.303,0.167,218
636,0.525,0.304,0.171,198
637,0.525,0.311,0.164,201
638,0.522,0.324,0.155,193
639,0.53,0.318,0.152,200
640,0.531,0.305,0.164,194
641,0.518,0.315,0.168,179
642,0.526,0.313,0.161,191
643,0.532,0.314,0.155,203
644,0.528,0.32,0.152,184
645,0.53,0.316,0.153,199
646,0.539,0.304,0.157,198
647,0.531,0.309,0.159,187
648,0.533,0.31,0.157,191
649,0.525,0.322,0.153,165
650,0.53,0.321,0.149,158
651,0.533,0.316,0.151,194
652,0.528,0.311,0.161,174
653,0.523,0.313,0.164,180
654,0.525,0.319,0.157,190
655,0.522,0.314,0.164,195
656,0.52,0.314,0.167,191
657,0.512,0.314,0.174,194
658,0.508,0.322,0.171,187
659,0.519,0.315,0.167,199
660,0.528,0.303,0.17,201
661,0.526,0.305,0.169,197
662,0.524,0.313,0.163,207
663,0.519,0.319,0.162,199
664,0.529,0.311,0.16,223
665,0.531,0.303,0.167,209
666,0.528,0.306,0.166,213
667,0.517,0.319,0.164,223
668,0.51,0.325,0.165,188
669,0.514,0.319,0.167,237
670,0.519,0.31,0.172,223
671,0.5,0.321,0.179,232
672,0.502,0.323,0.175,205
673,0.505,0.319,0.176,263
674,0.519,0.307,0.174,298
675,0.506,0.32,0.174,314
676,0.524,0.305,0.172,312
677,0.532,0.299,0.169,359
678,0.515,0.317,0.168,413
679,0.535,0.303,0.162,444
680,0.548,0.287,0.165,383
681,0.546,0.285,0.169,369
682,0.541,0.295,0.164,438
683,0.528,0.307,0.165,494
684,0.537,0.298,0.165,492
685,0.547,0.286,0.168,437
686,0.549,0.284,0.167,452
687,0.54,0.297,0.163,564
688,0.521,0.311,0.168,540
689,0.538,0.298,0.163,582
690,0.544,0.292,0.165,513
691,0.54,0.295,0.166,525
692,0.512,0.316,0.172,425
693,0.525,0.306,0.169,156
694,0.528,0.305,0.167,490
695,0.536,0.291,0.173,434
696,0.536,0.29,0.174,420
697,0.529,0.301,0.17,451
698,0.524,0.305,0.171,411
699,0.528,0.3,0.172,412
700,0.532,0.294,0.174,396
701,0.536,0.292,0.172,401
702,0.535,0.299,0.166,424
703,0.534,0.303,0.163,410
704,0.549,0.289,0.162,404
705,0.554,0.278,0.167,358
706,0.556,0.28,0.164,367
707,0.542,0.297,0.161,421
708,0.536,0.302,0.161,414
709,0.547,0.294,0.159,400
710,0.539,0.298,0.163,351
711,0.525,0.312,0.163,325
712,0.527,0.315,0.158,255
713,0.524,0.319,0.158,248
714,0.526,0.314,0.16,264
715,0.529,0.312,0.159,248
716,0.525,0.315,0.159,250
717,0.53,0.319,0.151,172
718,0.533,0.311,0.156,115
719,0.521,0.324,0.154,239
720,0.528,0.317,0.155,231
721,0.523,0.319,0.157,215
722,0.524,0.32,0.156,206
723,0.521,0.324,0.155,195
724,0.524,0.325,0.151,156
725,0.521,0.331,0.148,157
726,0.518,0.325,0.157,180
727,0.518,0.323,0.159,175
728,0.511,0.33,0.159,165
729,0.514,0.331,0.155,137
730,0.515,0.331,0.154,155
731,0.519,0.326,0.155,165
732,0.515,0.333,0.152,156
733,0.526,0.328,0.146,127
734,0.519,0.331,0.15,125
735,0.526,0.327,0.146,158
736,0.521,0.325,0.154,153
737,0.524,0.327,0.149,154
738,0.523,0.329,0.148,143
739,0.525,0.325,0.15,148
740,0.521,0.327,0.152,152
741,0.524,0.325,0.151,153
742,0.525,0.324,0.151,131
743,0.531,0.32,0.148,120
744,0.527,0.327,0.147,139
745,0.526,0.327,0.147,146
746,0.525,0.324,0.151,130
747,0.533,0.317,0.15,113
748,0.523,0.325,0.152,140
749,0.521,0.325,0.153,150
750,0.525,0.327,0.148,150
751,0.536,0.32,0.144,117
752,0.524,0.329,0.147,134
753,0.53,0.321,0.149,155
754,0.529,0.324,0.147,158
755,0.532,0.324,0.144,130
756,0.529,0.326,0.145,131
757,0.529,0.322,0.149,160
