No,Red,Green,Blue,Brightness
778,0.475,0.36,0.165,136
779,0.47,0.362,0.168,147
780,0.474,0.357,0.169,152
781,0.475,0.352,0.173,158
782,0.475,0.352,0.173,160
783,0.47,0.357,0.173,165
784,0.469,0.356,0.175,171
785,0.464,0.359,0.177,177
786,0.468,0.353,0.179,186
787,0.468,0.351,0.181,185
788,0.46,0.358,0.182,174
789,0.444,0.368,0.188,137
790,0.446,0.375,0.179,56
791,0.441,0.373,0.186,58
792,0.419,0.395,0.186,43
793,0.46,0.368,0.172,82
794,0.472,0.361,0.167,103
795,0.478,0.354,0.168,110
796,0.479,0.35,0.171,115
797,0.472,0.352,0.176,125
798,0.466,0.351,0.183,134
799,0.461,0.352,0.187,133
800,0.462,0.359,0.179,122
801,0.463,0.355,0.182,125
802,0.464,0.352,0.184,129
803,0.466,0.356,0.178,123
804,0.464,0.357,0.179,116
805,0.469,0.354,0.177,117
806,0.463,0.355,0.182,125
807,0.453,0.36,0.187,146
808,0.45,0.357,0.193,180
809,0.455,0.348,0.197,208
810,0.454,0.349,0.197,225
811,0.45,0.354,0.197,234
812,0.453,0.351,0.196,250
813,0.457,0.347,0.196,249
814,0.459,0.346,0.195,231
815,0.458,0.348,0.194,229
816,0.457,0.348,0.195,225
817,0.462,0.346,0.192,213
818,0.463,0.346,0.19,210
819,0.461,0.35,0.189,210
820,0.459,0.349,0.191,215
821,0.457,0.351,0.192,216
822,0.453,0.353,0.194,209
823,0.453,0.358,0.189,196
824,0.459,0.357,0.184,190
825,0.452,0.362,0.186,193
826,0.45,0.351,0.198,229
827,0.448,0.348,0.204,257
828,0.45,0.349,0.201,256
829,0.45,0.346,0.204,248
830,0.447,0.35,0.203,245
831,0.451,0.35,0.198,245
832,0.457,0.348,0.196,238
833,0.456,0.35,0.194,226
834,0.451,0.358,0.191,213
835,0.451,0.358,0.192,202
836,0.454,0.351,0.195,195
837,0.447,0.359,0.194,180
838,0.447,0.355,0.197,162
839,0.441,0.357,0.203,155
840,0.443,0.357,0.2,149
841,0.439,0.356,0.205,141
842,0.441,0.354,0.205,134
843,0.446,0.355,0.198,128
844,0.445,0.353,0.202,127
845,0.44,0.353,0.207,122
846,0.445,0.353,0.202,127
847,0.447,0.35,0.203,131
848,0.448,0.352,0.2,133
849,0.444,0.353,0.203,143
850,0.442,0.351,0.208,165
851,0.44,0.351,0.209,201
852,0.438,0.35,0.212,227
853,0.437,0.353,0.21,235
854,0.441,0.352,0.207,237
855,0.439,0.352,0.209,240
856,0.439,0.351,0.211,238
857,0.434,0.353,0.213,231
858,0.435,0.35,0.215,226
859,0.432,0.35,0.218,219
860,0.423,0.354,0.222,200
861,0.424,0.349,0.227,183
862,0.422,0.348,0.23,171
863,0.427,0.34,0.233,161
864,0.427,0.343,0.231,154
865,0.424,0.338,0.237,151
866,0.429,0.338,0.233,146
867,0.434,0.341,0.225,141
868,0.435,0.344,0.221,144
869,0.431,0.35,0.219,150
