No,Red,Green,Blue,Brightness
126,0.5,0.25,0.25,55
127,0.472,0.278,0.25,40
128,0.478,0.261,0.261,24
129,0.474,0.263,0.263,18
130,0.435,0.304,0.261,20
131,0.429,0.321,0.25,24
132,0.389,0.333,0.278,30
133,0.353,0.353,0.294,44
134,0.148,0.463,0.389,58
135,0.217,0.419,0.363,217
136,0.235,0.41,0.355,418
137,0.311,0.371,0.318,661
138,0.304,0.374,0.322,610
139,0.312,0.371,0.316,643
140,0.299,0.377,0.324,578
141,0.25,0.402,0.347,431
142,0.218,0.421,0.361,338
143,0.198,0.434,0.368,258
144,0.155,0.466,0.379,81
145,0.333,0.359,0.308,32
146,0.355,0.355,0.29,25
147,0.391,0.348,0.261,20
148,0.409,0.318,0.273,19
149,0.421,0.316,0.263,17
150,0.5,0.25,0.25,17
151,0.471,0.235,0.294,19
152,0.41,0.308,0.282,44
153,0.404,0.316,0.281,60
154,0.431,0.294,0.275,53
155,0.548,0.238,0.214,43
156,0.617,0.213,0.17,46
157,0.614,0.193,0.193,55
158,0.603,0.206,0.191,66
159,0.568,0.23,0.203,76
160,0.554,0.231,0.215,67
161,0.558,0.231,0.212,55
162,0.554,0.232,0.214,58
163,0.552,0.239,0.209,69
164,0.548,0.242,0.21,65
165,0.55,0.233,0.217,62
166,0.557,0.23,0.213,61
167,0.567,0.233,0.2,59
168,0.559,0.22,0.22,60
169,0.569,0.224,0.207,56
170,0.582,0.218,0.2,54
171,0.583,0.217,0.2,59
172,0.576,0.212,0.212,64
173,0.577,0.211,0.211,69
174,0.577,0.218,0.205,75
175,0.573,0.22,0.207,80
176,0.578,0.217,0.205,81
177,0.578,0.217,0.205,79
178,0.587,0.213,0.2,78
179,0.587,0.213,0.2,78
180,0.573,0.22,0.207,79
181,0.588,0.212,0.2,83
182,0.578,0.222,0.2,88
183,0.57,0.226,0.204,91
184,0.568,0.221,0.211,92
185,0.57,0.22,0.21,97
186,0.573,0.223,0.204,101
187,0.569,0.225,0.206,99
188,0.564,0.228,0.208,97
189,0.559,0.235,0.206,100
190,0.557,0.236,0.208,105
191,0.552,0.238,0.21,105
192,0.546,0.241,0.213,107
193,0.549,0.239,0.212,112
194,0.539,0.243,0.217,114
195,0.544,0.246,0.211,113
196,0.543,0.241,0.216,115
197,0.546,0.244,0.21,119
198,0.549,0.246,0.205,120
199,0.553,0.244,0.203,120
200,0.551,0.244,0.205,124
201,0.556,0.238,0.206,123
202,0.559,0.237,0.203,115
203,0.546,0.241,0.213,106
204,0.539,0.245,0.216,101
205,0.536,0.247,0.216,97
206,0.522,0.256,0.222,92
207,0.517,0.258,0.225,90
208,0.521,0.255,0.223,95
209,0.52,0.26,0.22,100
210,0.525,0.253,0.222,99
211,0.52,0.255,0.224,98
212,0.52,0.255,0.224,99
213,0.516,0.258,0.226,94
214,0.511,0.267,0.222,89
215,0.511,0.261,0.228,90
216,0.51,0.265,0.224,99
217,0.51,0.26,0.23,101
218,0.51,0.265,0.224,98
219,0.51,0.265,0.224,98
220,0.51,0.26,0.23,100
221,0.51,0.265,0.224,98
222,0.51,0.26,0.229,97
223,0.51,0.265,0.224,99
224,0.51,0.265,0.224,100
225,0.511,0.266,0.223,96
226,0.516,0.264,0.22,93
227,0.516,0.264,0.22,93
228,0.522,0.256,0.222,92
229,0.529,0.253,0.218,89
230,0.536,0.25,0.214,85
231,0.53,0.253,0.217,84
232,0.538,0.25,0.213,81
233,0.534,0.247,0.219,75
234,0.535,0.254,0.211,72
235,0.544,0.25,0.206,68
236,0.55,0.233,0.217,60
237,0.554,0.232,0.214,57
238,0.558,0.231,0.212,53
239,0.551,0.224,0.224,50
240,0.553,0.234,0.213,49
241,0.548,0.238,0.214,43
242,0.568,0.216,0.216,38
243,0.543,0.229,0.229,35
244,0.548,0.226,0.226,30
245,0.571,0.214,0.214,27
246,0.571,0.214,0.214,27
247,0.571,0.214,0.214,28
248,0.571,0.214,0.214,27
249,0.567,0.233,0.2,28
250,0.562,0.219,0.219,29
251,0.571,0.229,0.2,34
252,0.568,0.227,0.205,42
253,0.566,0.226,0.208,50
254,0.569,0.224,0.207,55
255,0.578,0.219,0.203,61
256,0.585,0.215,0.2,62
257,0.591,0.212,0.197,63
258,0.597,0.21,0.194,59
259,0.596,0.212,0.192,51
260,0.578,0.222,0.2,43
261,0.595,0.216,0.189,37
262,0.594,0.219,0.187,31
263,0.591,0.227,0.182,22
264,0.619,0.19,0.19,20
265,0.609,0.217,0.174,22
266,0.6,0.2,0.2,20
267,0.619,0.19,0.19,21
268,0.593,0.222,0.185,28
269,0.594,0.219,0.187,34
270,0.6,0.2,0.2,41
271,0.595,0.214,0.19,43
272,0.6,0.2,0.2,46
273,0.587,0.217,0.196,46
274,0.595,0.214,0.19,42
275,0.583,0.222,0.194,36
276,0.593,0.222,0.185,28
277,0.591,0.227,0.182,22
278,0.632,0.211,0.158,19
279,0.64,0.2,0.16,25
280,0.625,0.2,0.175,40
281,0.615,0.212,0.173,52
282,0.596,0.211,0.193,56
283,0.58,0.22,0.2,50
284,0.585,0.208,0.208,53
285,0.571,0.214,0.214,58
286,0.557,0.23,0.213,64
287,0.536,0.246,0.217,75
288,0.52,0.253,0.227,79
289,0.512,0.256,0.232,87
290,0.512,0.262,0.226,89
291,0.505,0.264,0.231,96
292,0.5,0.27,0.23,106
293,0.495,0.272,0.233,110
294,0.495,0.267,0.238,106
295,0.5,0.266,0.234,100
296,0.5,0.271,0.229,102
297,0.5,0.266,0.234,101
298,0.5,0.273,0.227,95
299,0.506,0.271,0.224,92
300,0.512,0.262,0.225,87
301,0.514,0.257,0.23,76
302,0.522,0.246,0.232,70
303,0.53,0.242,0.227,66
304,0.53,0.242,0.227,63
305,0.542,0.237,0.22,57
306,0.571,0.224,0.204,48
307,0.562,0.229,0.208,48
308,0.562,0.229,0.208,48
309,0.562,0.229,0.208,51
310,0.558,0.231,0.212,54
311,0.574,0.222,0.204,57
312,0.571,0.222,0.206,62
313,0.578,0.219,0.203,64
314,0.582,0.224,0.194,66
315,0.573,0.227,0.2,73
316,0.575,0.23,0.195,84
317,0.568,0.232,0.2,91
318,0.56,0.24,0.2,96
319,0.543,0.248,0.21,102
320,0.545,0.245,0.209,109
321,0.545,0.245,0.209,109
322,0.545,0.25,0.205,112
323,0.536,0.25,0.214,115
324,0.533,0.257,0.21,109
325,0.531,0.255,0.214,102
326,0.532,0.255,0.213,99
327,0.538,0.253,0.209,97
328,0.531,0.255,0.214,102
329,0.538,0.255,0.208,109
330,0.539,0.252,0.209,118
331,0.531,0.258,0.211,131
332,0.511,0.271,0.218,134
333,0.508,0.271,0.22,118
334,0.505,0.275,0.22,108
335,0.51,0.276,0.214,99
336,0.518,0.271,0.212,85
337,0.506,0.278,0.215,79
338,0.5,0.282,0.218,78
339,0.507,0.28,0.213,75
340,0.487,0.289,0.224,75
341,0.468,0.304,0.228,78
342,0.452,0.301,0.247,75
343,0.433,0.299,0.269,72
344,0.415,0.308,0.277,69
345,0.41,0.311,0.279,65
346,0.414,0.31,0.276,59
347,0.407,0.315,0.278,55
348,0.404,0.327,0.269,52
349,0.423,0.308,0.269,51
350,0.434,0.302,0.264,51
351,0.434,0.302,0.264,51
352,0.446,0.304,0.25,53
353,0.456,0.298,0.246,54
354,0.45,0.3,0.25,56
355,0.441,0.305,0.254,54
356,0.441,0.305,0.254,55
357,0.429,0.317,0.254,57
358,0.424,0.318,0.258,60
